pat num,JJ num,V_sam [uV],V_sam err [uV],R_printed [Ohms],R_calc [Ohms],Vmon (uV),Rbias (Ohms),Date_probed (yyyymmdd)
2A,1,6.66,0.019,707,707,951.2,100200,20190912
2A,2,7.36,0.591,782,781,951.2,100200,20190912
2A,3,7.64,0.02,812,811,951.2,100200,20190912
2A,4,8.04,0.012,855,854,951.2,100200,20190912
2A,5,7.54,0.067,802,801,951.2,100200,20190912
2A,6,7.74,0.052,823,822,951.2,100200,20190912
2A,7,8.1,0.03,861,861,951.2,100200,20190912
2A,8,8.6,0.019,916,914,951.2,100200,20190912
2A,9,9.33,0.143,994,993,951.2,100200,20190912
2A,10,8.19,0.158,871,870,951.2,100200,20190912
2A,11,7.8,0.11,830,828,951.2,100200,20190912
2A,12,7.59,0.043,807,806,951.2,100200,20190912
2A,13,7.82,0.014,831,831,951.2,100200,20190912
2A,14,7.22,0.095,768,766,951.2,100200,20190912
2A,15,6.93,0.05,736,735,951.2,100200,20190912
2A,16,6.65,0.096,707,705,951.2,100200,20190912
2C,1,5.64,0.097,598,598,951.2,100200,20190912
2C,2,6.05,0.024,642,641,951.2,100200,20190912
2C,3,6.45,0.044,685,684,951.2,100200,20190912
2C,4,6.83,0.03,725,725,951.2,100200,20190912
2C,5,6.43,0.008,683,682,951.2,100200,20190912
2C,6,7.05,0.019,749,748,951.2,100200,20190912
2C,7,6.96,0.017,740,739,951.2,100200,20190912
2C,8,7.55,0.012,803,802,951.2,100200,20190912
2C,9,7.51,0.014,798,797,951.2,100200,20190912
2C,10,7.06,0.011,751,749,951.2,100200,20190912
2C,11,6.8,0.014,722,721,951.2,100200,20190912
2C,12,6.42,0.01,682,681,951.2,100200,20190912
2C,13,7.02,0.008,746,745,951.2,100200,20190912
2C,14,6.44,0.012,684,683,951.2,100200,20190912
2C,15,6.02,0.014,639,638,951.2,100200,20190912
2C,16,6.07,0.007,644,644,951.2,100200,20190912
2B,1,6.72,0.019,714,712,951.9,100200,20190916
2B,2,7.51,0.019,798,797,951.9,100200,20190916
2B,3,7.64,0.024,812,811,951.9,100200,20190916
2B,4,8.11,0.011,863,861,951.9,100200,20190916
2B,5,7.5,0.035,797,796,951.9,100200,20190916
2B,6,7.64,0.01,813,811,951.9,100200,20190916
2B,7,8.03,0.015,855,852,951.9,100200,20190916
2B,8,8.55,0.016,910,908,951.9,100200,20190916
2B,9,8.45,0.006,899,897,951.9,100200,20190916
2B,10,8.56,0.011,911,909,951.9,100200,20190916
2B,11,7.63,0.007,811,810,951.9,100200,20190916
2B,12,7.34,0.005,781,779,951.9,100200,20190916
2B,13,8.31,0.015,885,882,951.9,100200,20190916
2B,14,7.8,0.014,830,828,951.9,100200,20190916
2B,15,7.28,0.006,774,772,951.9,100200,20190916
2B,16,6.81,0.02,723,722,951.9,100200,20190916
2C,1,6.07,0.089,644,643,951.9,100200,20190916
2C,2,6.51,0.014,691,690,951.9,100200,20190916
2C,3,6.76,0.008,718,717,951.9,100200,20190916
2C,4,7.21,0.072,766,765,951.9,100200,20190916
2C,5,6.84,0.006,726,725,951.9,100200,20190916
2C,6,7.4,0.023,787,785,951.9,100200,20190916
2C,7,7.37,0.046,783,782,951.9,100200,20190916
2C,8,7.97,0.01,847,846,951.9,100200,20190916
2C,9,7.85,0.045,835,833,951.9,100200,20190916
2C,10,7.41,0.073,788,786,951.9,100200,20190916
2C,11,7.08,0.031,753,751,951.9,100200,20190916
2C,12,6.8,0.044,723,721,951.9,100200,20190916
2C,13,7.64,0.191,813,811,951.9,100200,20190916
2C,14,7.02,0.128,746,744,951.9,100200,20190916
2C,15,6.32,0.175,671,670,951.9,100200,20190916
2C,16,6.47,0.026,687,686,951.9,100200,20190916
2D,1,5.67,0.304,602,600,951.9,100200,20190916
2D,2,5.61,0.113,595,594,951.9,100200,20190916
2D,3,5.92,0.169,629,627,951.9,100200,20190916
2D,4,6.25,0.112,664,662,951.9,100200,20190916
2D,5,6.02,0.013,639,638,951.9,100200,20190916
2D,6,6.18,0.05,656,655,951.9,100200,20190916
2D,7,6.48,0.089,688,687,951.9,100200,20190916
2D,8,6.91,0.075,735,733,951.9,100200,20190916
2D,9,6.83,0.063,725,724,951.9,100200,20190916
2D,10,6.49,0.117,689,688,951.9,100200,20190916
2D,11,6.21,0.037,660,658,951.9,100200,20190916
2D,12,6.01,0.071,638,637,951.9,100200,20190916
2D,13,6.44,0.046,684,683,951.9,100200,20190916
2D,14,6.16,0.042,654,653,951.9,100200,20190916
2D,15,5.77,0.051,612,611,951.9,100200,20190916
2D,16,5.43,0.021,576,575,951.9,100200,20190916
2E,1,5.43,0.041,576,575,951.9,100200,20190916
2E,2,6.1,0.105,647,646,951.9,100200,20190916
2E,3,6.26,0.045,664,663,951.9,100200,20190916
2E,4,6.63,0.077,704,703,951.9,100200,20190916
2E,5,6.53,0.011,693,692,951.9,100200,20190916
2E,6,6.92,0.01,735,734,951.9,100200,20190916
2E,7,7.23,0.031,768,767,951.9,100200,20190916
2E,8,8.01,0.074,852,850,951.9,100200,20190916
2E,9,7.71,0.033,820,818,951.9,100200,20190916
2E,10,7.55,0.029,802,801,951.9,100200,20190916
2E,11,11.23,0.019,1198,1196,951.9,100200,20190916
2E,12,11.36,0.03,1213,1210,951.9,100200,20190916
2E,13,7.71,0.014,819,818,951.9,100200,20190916
2E,14,7.64,0.026,812,811,951.9,100200,20190916
2E,15,199.71,0.08,26668,26604,951.9,100200,20190916
2E,16,7.48,0.014,795,794,951.9,100200,20190916
2F,1,5.93,0.011,629,628,951.9,100200,20190916
2F,2,6.13,0.02,651,649,951.9,100200,20190916
2F,3,6.47,0.005,687,686,951.9,100200,20190916
2F,4,6.85,0.015,727,726,951.9,100200,20190916
2F,5,6.63,0.067,705,703,951.9,100200,20190916
2F,6,6.66,0.035,708,706,951.9,100200,20190916
2F,7,7.01,0.025,745,743,951.9,100200,20190916
2F,8,7.11,0.011,755,754,951.9,100200,20190916
2F,9,7.16,0.043,761,759,951.9,100200,20190916
2F,10,6.65,0.05,706,705,951.9,100200,20190916
2F,11,6.69,0.022,711,709,951.9,100200,20190916
2F,12,6.53,0.041,694,692,951.9,100200,20190916
2F,13,6.75,0.012,716,716,951.9,100200,20190916
2F,14,6.41,0.023,680,679,951.9,100200,20190916
2F,15,6.12,0.18,649,648,951.9,100200,20190916
2F,16,5.83,0.027,618,617,951.9,100200,20190916